"Condition","Rate.Happiness.","Rate.Meaningfulness.","What.company.was.the.advertisement.for."
"nonparents1",10,10,"Chrome"
"nonparents2",8,7,"google"
"nonparents1",7,7,"Google, gmail "
"nonparents2",9,9,"Google "
"nonparents1",10,10,"Googke"
"nonparents1",5,3,"Google, specifically their Chrome browser"
"nonparents2",7,7,"Chrome"
"nonparents1",7,8,"Google"
"nonparents1",10,10,"n/a"
"nonparents1",6,5,"google"
"nonparents1",10,10,"Google"
"nonparents1",3,4,"Google"
"nonparents2",9,10,"Chrome"
"nonparents2",10,10,"Google Chrome"
"nonparents1",6,6,"google chrome"
"nonparents2",1,1,"lucy"
"nonparents1",7,7,"google chrome"
"nonparents2",5,5,"Google Chrome"
"nonparents1",10,9,"Google"
"nonparents2",10,10,"google"
"nonparents1",7,6,"unsure"
"nonparents2",10,10,"Google"
"nonparents1",8,9,"google chrome"
"nonparents1",7,7,"Google"
"nonparents2",8,6,"Google Chrome"
"nonparents2",9,8,"google"
"nonparents1",10,10,"soap"
"nonparents1",10,10,"Don't remember"
"nonparents2",7,7,"Google"
"nonparents1",10,10,"Google"
"nonparents2",6,6,"Google"
"nonparents1",1,1,"N/a"
"nonparents1",10,10,"Google"
"nonparents1",10,10,"Chrome"
"nonparents1",1,1,"sdsdf"
"nonparents2",10,10,"Google "
"nonparents2",4,3,"email sophie"
"nonparents1",8,9,"Google"
"nonparents2",10,10,"Google Chrome"
"nonparents2",10,10,"Google Chrome"
"nonparents1",3,7,"Google"
"nonparents1",9,8,"babies"
"nonparents2",8,8,"chrome"
"nonparents2",7,8,"Google"
"nonparents1",8,10,"Google chrome"
"nonparents2",6,8,"Google "
"nonparents2",7,6,"Google"
"nonparents2",7,5,"T"
"nonparents1",7,8,"Google"
"nonparents1",2,3,"google"
"nonparents1",8,8,"Google"
"nonparents2",7,1,"Google"
"nonparents2",8,7,"Google"
"nonparents2",10,10,"Google"
"nonparents2",6,6,"na"
"nonparents1",8,8,"Google Chrome"
"nonparents2",10,1,"CHROME"
"nonparents2",4,6,"Google"
"nonparents2",10,10,"google crom"
"nonparents2",10,10,"Chrome"
"nonparents2",7,9,"ere"
"nonparents2",8,8,"Google"
"nonparents1",6,6,"_"
"nonparents1",8,8,"google"
"nonparents2",8,10,"gmail or google"
"nonparents2",6,6,"don't know"
"nonparents1",1,1,"google"
"nonparents2",7,8,"Google"
"nonparents2",8,8,"Google"
"nonparents1",8,9,"Google"
"nonparents1",10,7,"google chrome"
"nonparents2",5,7,"dont know"
"nonparents2",10,10,"Google"
"nonparents2",8,8,"Google"
"nonparents2",1,1,"Windows based apps"
"nonparents2",6,6,"no idea maybe email or chrome"
"nonparents1",8,6,"Google"
"nonparents1",7,3,"youtube"
"nonparents1",7,8,"Google"
"nonparents2",8,6,"Google"
"nonparents1",3,3,"google"
"nonparents2",7,9,"Google"
"nonparents1",5,5,"no idea"
"nonparents1",10,10,"google chrome"
"nonparents2",9,7,"Google"
"nonparents1",5,2,"google"
"nonparents2",8,9,"Chrome"
"nonparents1",3,3,"na"
"nonparents1",8,8,"google"
"nonparents2",10,10,"Google"
"nonparents2",9,9,"Google"
"nonparents2",10,10,"Google "
"nonparents1",10,10,"Google"
"nonparents2",9,10,"Google chrome"
"nonparents2",9,9,"?"
"nonparents2",5,5,"n/a"
"nonparents1",8,8,"Google"
"nonparents1",10,10,"Google/Chrome"
"nonparents2",10,10,"Google"
"nonparents2",1,3,"Google Chrome"
"nonparents2",3,3,"Google"
"nonparents2",8,9,"Google"
"nonparents1",5,5,"Google"
"nonparents2",10,10,"Google "
"nonparents2",10,10,"Google Chrome"
"nonparents2",5,5,"dont' recall"
"nonparents2",5,6,"Google"
"nonparents2",1,1,"google"
"nonparents1",7,8,"Google chrome"
"nonparents1",4,5,"Forsophie.com"
"nonparents2",8,9,"google"
"nonparents1",9,9,"gmail"
"nonparents1",7,6,"Google"
"nonparents1",9,9,"google"
"nonparents1",10,10,"Google Crome"
"nonparents2",9,9,"Chrome"
"nonparents2",6,6,"n/a"
"nonparents1",5,5,"n/a"
"nonparents2",7,10,"Google/Google Chrome"
"nonparents2",8,8,"Google"
"nonparents1",1,1,"unk"
"nonparents1",9,10,"Google"
"nonparents2",7,4,"Google"
